Wavelength,230,232,234,236,238,240,242,244,246,248,250,252,254,256,258,260,262,264,266,268,270,272,274,276,278,280,282,284,286,288,290,292,294,296,298,300,302,304,306,308,310,312,314,316,318,320,322,324,326,328,330,332,334,336,338,340,342,344,346,348,350,352,354,356,358,360,362,364,366,368,370,372,374,376,378,380,382,384,386,388,390,392,394,396,398,400,402,404,406,408,410,412,414,416,418,420,422,424,426,428,430,432,434,436,438,440,442,444,446,448,450,452,454,456,458,460,462,464,466,468,470,472,474,476,478,480,482,484,486,488,490,492,494,496,498,500
nm,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /,CPS / MicroAmps /
250,"1,30719","3,81944","2,6455","1,05668","-0,05394","0,12866","0,02056","0,0807","0,12958","0,00674","0,03074","0,04381","0,02937","0,0244","0,02065","0,02594","0,00705","0,02694","0,04018","0,03943","0,04713","0,04871","0,08195","0,0805","0,08256","0,10217","0,10628","0,11582","0,10127","0,10317","0,12877","0,13907","0,12408","0,15154","0,1473","0,18471","0,17755","0,16762","0,14359","0,15748","0,13912","0,16408","0,16923","0,17915","0,2039","0,1872","0,2012","0,21405","0,23609","0,24019","0,24136","0,24379","0,24006","0,27897","0,24951","0,2671","0,26738","0,24999","0,27819","0,28083","0,26371","0,27834","0,26106","0,27525","0,30373","0,29692","0,30671","0,31201","0,31445","0,01284","0,07882","0,4259","0,80592","0,69531","0,24426","0,02224","0,00314","0,3084","0,29263","0,26864","0,27478","0,25871","0,2485","0,23871","0,2052","0,19709","0,19055","0,20738","0,19593","0,18622","0,17977","0,17056","0,17118","0,16032","0,15274","0,15371","0,13947","0,14131","0,15316","0,13828","0,14129","0,13295","0,13403","0,14499","0,17313","0,12732","0,12063","0,12897","0,12789","0,12306","0,11042","0,10393","0,10656","0,10609","0,10743","0,1073","0,09948","0,09122","0,0859","0,0819","0,08737","0,08012","0,07842","0,08356","0,093","0,08228","0,07723","0,06862","0,06958","0,07633","0,06463","0,06108","0,05933","0,06359","0,05334","0,05386"
251,"0,65789","6,92042","1,40845",0,"-0,05379","0,0321","-0,08202","0,0807","0,12958","0,00674","0,03074","0,04381","0,02937","0,0244","0,02065","0,02594","0,00705","0,02694","0,04018","0,03943","0,04713","0,04871","0,08195","0,0805","0,08256","0,10217","0,10628","0,11582","0,10127","0,10317","0,12877","0,13907","0,12408","0,15154","0,1473","0,18471","0,17755","0,16762","0,14359","0,15748","0,13912","0,16408","0,16923","0,17915","0,2039","0,1872","0,2012","0,21405","0,23609","0,24019","0,24136","0,24379","0,24006","0,27897","0,24951","0,2671","0,26738","0,24999","0,27819","0,28083","0,26371","0,27834","0,26106","0,27525","0,30373","0,29692","0,30671","0,31201","0,31445","0,31114","0,31472","0,31727","0,31574","0,30521","0,30802","0,29856","0,30703","0,3084","0,29263","0,26864","0,27478","0,25871","0,2485","0,23871","0,2052","0,19709","0,19055","0,20738","0,19593","0,18622","0,17977","0,17056","0,17118","0,16032","0,15274","0,15371","0,13947","0,14131","0,15316","0,13828","0,14129","0,13295","0,13403","0,14499","0,17313","0,12732","0,12063","0,12897","0,12789","0,12306","0,11042","0,10393","0,10656","0,10609","0,10743","0,1073","0,09948","0,09122","0,0859","0,0819","0,08737","0,08012","0,07842","0,08356","0,093","0,08228","0,07723","0,06862","0,06958","0,07633","0,06463","0,06108","0,05933","0,06359","0,05334","0,05386"
252,"2,63158","2,43056","0,17575","-0,09653","0,48465","0,28874","0,02053","0,0807","0,12958","0,00674","0,03074","0,04381","0,02937","0,0244","0,02065","0,02594","0,00705","0,02694","0,04018","0,03943","0,04713","0,04871","0,08195","0,0805","0,08256","0,10217","0,10628","0,11582","0,10127","0,10317","0,12877","0,13907","0,12408","0,15154","0,1473","0,18471","0,17755","0,16762","0,14359","0,15748","0,13912","0,16408","0,16923","0,17915","0,2039","0,1872","0,2012","0,21405","0,23609","0,24019","0,24136","0,24379","0,24006","0,27897","0,24951","0,2671","0,26738","0,24999","0,27819","0,28083","0,26371","0,27834","0,26106","0,27525","0,30373","0,29692","0,30671","0,31201","0,31445","0,31114","0,31472","0,31727","0,31574","0,30521","0,30802","0,29856","0,30703","0,3084","0,29263","0,26864","0,27478","0,25871","0,2485","0,23871","0,2052","0,19709","0,19055","0,20738","0,19593","0,18622","0,17977","0,17056","0,17118","0,16032","0,15274","0,15371","0,13947","0,14131","0,15316","0,13828","0,14129","0,13295","0,13403","0,14499","0,17313","0,12732","0,12063","0,12897","0,12789","0,12306","0,11042","0,10393","0,10656","0,10609","0,10743","0,1073","0,09948","0,09122","0,0859","0,0819","0,08737","0,08012","0,07842","0,08356","0,093","0,08228","0,07723","0,06862","0,06958","0,07633","0,06463","0,06108","0,05933","0,06359","0,05334","0,05386"
253,"5,92105","-0,69686","0,52724","0,09606","1,02481","0,4168","-0,16407","0,12121","0,12958","0,00674","0,03074","0,04381","0,02937","0,0244","0,02065","0,02594","0,00705","0,02694","0,04018","0,03943","0,04713","0,04871","0,08195","0,0805","0,08256","0,10217","0,10628","0,11582","0,10127","0,10317","0,12877","0,13907","0,12408","0,15154","0,1473","0,18471","0,17755","0,16762","0,14359","0,15748","0,13912","0,16408","0,16923","0,17915","0,2039","0,1872","0,2012","0,21405","0,23609","0,24019","0,24136","0,24379","0,24006","0,27897","0,24951","0,2671","0,26738","0,24999","0,27819","0,28083","0,26371","0,27834","0,26106","0,27525","0,30373","0,29692","0,30671","0,31201","0,31445","0,31114","0,31472","0,31727","0,31574","0,30521","0,30802","0,29856","0,30703","0,3084","0,29263","0,26864","0,27478","0,25871","0,2485","0,23871","0,2052","0,19709","0,19055","0,20738","0,19593","0,18622","0,17977","0,17056","0,17118","0,16032","0,15274","0,15371","0,13947","0,14131","0,15316","0,13828","0,14129","0,13295","0,13403","0,14499","0,17313","0,12732","0,12063","0,12897","0,12789","0,12306","0,11042","0,10393","0,10656","0,10609","0,10743","0,1073","0,09948","0,09122","0,0859","0,0819","0,08737","0,08012","0,07842","0,08356","0,093","0,08228","0,07723","0,06862","0,06958","0,07633","0,06463","0,06108","0,05933","0,06359","0,05334","0,05386"
254,"-0,65789","3,13589","0,52724","0,67372","-0,37695","-0,12862","0,08225",0,"0,12958","0,00674","0,03074","0,04381","0,02937","0,0244","0,02065","0,02594","0,00705","0,02694","0,04018","0,03943","0,04713","0,04871","0,08195","0,0805","0,08256","0,10217","0,10628","0,11582","0,10127","0,10317","0,12877","0,13907","0,12408","0,15154","0,1473","0,18471","0,17755","0,16762","0,14359","0,15748","0,13912","0,16408","0,16923","0,17915","0,2039","0,1872","0,2012","0,21405","0,23609","0,24019","0,24136","0,24379","0,24006","0,27897","0,24951","0,2671","0,26738","0,24999","0,27819","0,28083","0,26371","0,27834","0,26106","0,27525","0,30373","0,29692","0,30671","0,31201","0,31445","0,31114","0,31472","0,31727","0,31574","0,30521","0,30802","0,29856","0,30703","0,3084","0,29263","0,26864","0,27478","0,25871","0,2485","0,23871","0,2052","0,19709","0,19055","0,20738","0,19593","0,18622","0,17977","0,17056","0,17118","0,16032","0,15274","0,15371","0,13947","0,14131","0,15316","0,13828","0,14129","0,13295","0,13403","0,14499","0,17313","0,12732","0,12063","0,12897","0,12789","0,12306","0,11042","0,10393","0,10656","0,10609","0,10743","0,1073","0,09948","0,09122","0,0859","0,0819","0,08737","0,08012","0,07842","0,08356","0,093","0,08228","0,07723","0,06862","0,06958","0,07633","0,06463","0,06108","0,05933","0,06359","0,05334","0,05386"
255,"4,60526","2,42215","-0,17606","0,76849","0,48544","-0,06458","0,02051","-0,02694","0,10186","0,00674","0,03074","0,04381","0,02937","0,0244","0,02065","0,02594","0,00705","0,02694","0,04018","0,03943","0,04713","0,04871","0,08195","0,0805","0,08256","0,10217","0,10628","0,11582","0,10127","0,10317","0,12877","0,13907","0,12408","0,15154","0,1473","0,18471","0,17755","0,16762","0,14359","0,15748","0,13912","0,16408","0,16923","0,17915","0,2039","0,1872","0,2012","0,21405","0,23609","0,24019","0,24136","0,24379","0,24006","0,27897","0,24951","0,2671","0,26738","0,24999","0,27819","0,28083","0,26371","0,27834","0,26106","0,27525","0,30373","0,29692","0,30671","0,31201","0,31445","0,31114","0,31472","0,31727","0,31574","0,30521","0,30802","0,29856","0,30703","0,3084","0,29263","0,26864","0,27478","0,25871","0,2485","0,23871","0,2052","0,19709","0,19055","0,20738","0,19593","0,18622","0,17977","0,17056","0,17118","0,16032","0,15274","0,15371","0,13947","0,14131","0,15316","0,13828","0,14129","0,13295","0,13403","0,14499","0,17313","0,12732","0,12063","0,12897","0,12789","0,12306","0,11042","0,10393","0,10656","0,10609","0,10743","0,1073","0,09948","0,09122","0,0859","0,0819","0,08737","0,08012","0,07842","0,08356","0,093","0,08228","0,07723","0,06862","0,06958","0,07633","0,06463","0,06108","0,05933","0,06359","0,05334","0,05386"
256,"10,59603","-0,34722","0,35273","-1,0628","-0,10782",0,"0,24605","0,04047","0,065","0,00674","0,03074","0,04381","0,02937","0,0244","0,02065","0,02594","0,00705","0,02694","0,04018","0,03943","0,04713","0,04871","0,08195","0,0805","0,08256","0,10217","0,10628","0,11582","0,10127","0,10317","0,12877","0,13907","0,12408","0,15154","0,1473","0,18471","0,17755","0,16762","0,14359","0,15748","0,13912","0,16408","0,16923","0,17915","0,2039","0,1872","0,2012","0,21405","0,23609","0,24019","0,24136","0,24379","0,24006","0,27897","0,24951","0,2671","0,26738","0,24999","0,27819","0,28083","0,26371","0,27834","0,26106","0,27525","0,30373","0,29692","0,30671","0,31201","0,31445","0,31114","0,31472","0,31727","0,31574","0,30521","0,30802","0,29856","0,30703","0,3084","0,29263","0,26864","0,27478","0,25871","0,2485","0,23871","0,2052","0,19709","0,19055","0,20738","0,19593","0,18622","0,17977","0,17056","0,17118","0,16032","0,15274","0,15371","0,13947","0,14131","0,15316","0,13828","0,14129","0,13295","0,13403","0,14499","0,17313","0,12732","0,12063","0,12897","0,12789","0,12306","0,11042","0,10393","0,10656","0,10609","0,10743","0,1073","0,09948","0,09122","0,0859","0,0819","0,08737","0,08012","0,07842","0,08356","0,093","0,08228","0,07723","0,06862","0,06958","0,07633","0,06463","0,06108","0,05933","0,06359","0,05334","0,05386"
257,"-2,63158","-0,34722","-0,88183","2,11538","0,48596","0,22581","0,22541","0,02695","0,05565","0,02699","0,03074","0,04381","0,02937","0,0244","0,02065","0,02594","0,00705","0,02694","0,04018","0,03943","0,04713","0,04871","0,08195","0,0805","0,08256","0,10217","0,10628","0,11582","0,10127","0,10317","0,12877","0,13907","0,12408","0,15154","0,1473","0,18471","0,17755","0,16762","0,14359","0,15748","0,13912","0,16408","0,16923","0,17915","0,2039","0,1872","0,2012","0,21405","0,23609","0,24019","0,24136","0,24379","0,24006","0,27897","0,24951","0,2671","0,26738","0,24999","0,27819","0,28083","0,26371","0,27834","0,26106","0,27525","0,30373","0,29692","0,30671","0,31201","0,31445","0,31114","0,31472","0,31727","0,31574","0,30521","0,30802","0,29856","0,30703","0,3084","0,29263","0,26864","0,27478","0,25871","0,2485","0,23871","0,2052","0,19709","0,19055","0,20738","0,19593","0,18622","0,17977","0,17056","0,17118","0,16032","0,15274","0,15371","0,13947","0,14131","0,15316","0,13828","0,14129","0,13295","0,13403","0,14499","0,17313","0,12732","0,12063","0,12897","0,12789","0,12306","0,11042","0,10393","0,10656","0,10609","0,10743","0,1073","0,09948","0,09122","0,0859","0,0819","0,08737","0,08012","0,07842","0,08356","0,093","0,08228","0,07723","0,06862","0,06958","0,07633","0,06463","0,06108","0,05933","0,06359","0,05334","0,05386"
