SIGNAL2,B,C
300,0.01089,784
300.2,0.01058,820
300.4,0.01086,802
300.6,0.01091,820
300.8,0.01085,878
301,0.01069,918
301.2,0.01075,896
301.4,0.01104,864
301.6,0.01085,932
301.8,0.01073,910
302,0.01064,912
302.2,0.01102,1010
302.4,0.0109,946
302.6,0.01075,1108
302.8,0.01067,962
303,0.01079,1016
303.2,0.01085,1050
303.4,0.01082,1178
303.6,0.01071,1178
303.8,0.01095,1248
304,0.01047,1300
304.2,0.01084,1428
304.4,0.01092,1548
304.6,0.01091,1634
304.8,0.01082,1676
305,0.01076,1902
305.2,0.01088,2118
305.4,0.01079,2100
305.6,0.01063,2246
305.8,0.01089,2524
306,0.01053,2696
306.2,0.0107,2968
306.4,0.01095,3044
306.6,0.01065,3396
306.8,0.01088,3716
307,0.01089,3832
307.2,0.01091,3970
307.4,0.01101,4196
307.6,0.01099,4428
307.8,0.01079,4448
308,0.01057,4498
308.2,0.01109,4846
308.4,0.01085,4730
308.6,0.01073,4802
308.8,0.01076,4956
309,0.0107,4936
309.2,0.01085,4900
309.4,0.01085,5134
309.6,0.01079,5052
309.8,0.01078,4698
310,0.01086,4670
310.2,0.01084,4444
310.4,0.01064,4334
310.6,0.01076,4182
310.8,0.0109,4088
311,0.01061,3830
311.2,0.01082,3572
311.4,0.01089,3384
311.6,0.01091,3276
311.8,0.01085,3154
312,0.01056,2718
312.2,0.01094,2886
312.4,0.01062,2532
312.6,0.0105,2328
312.8,0.01083,2258
313,0.01083,2128
313.2,0.01076,2144
313.4,0.01087,2116
313.6,0.01085,1722
313.8,0.01069,1978
314,0.01069,1810
314.2,0.0109,1854
314.4,0.01085,1804
314.6,0.01039,1746
314.8,0.01089,1762
315,0.01104,1710
315.2,0.01091,1738
315.4,0.01082,1666
315.6,0.01078,1760
315.8,0.01084,1710
316,0.01091,1722
316.2,0.01085,1800
316.4,0.01065,1744
316.6,0.01077,1740
316.8,0.01083,1758
317,0.01092,1872
317.2,0.01076,1902
317.4,0.01083,1792
317.6,0.01085,1852
317.8,0.01091,1830
318,0.01093,1862
318.2,0.01085,1740
318.4,0.0108,1864
318.6,0.01079,1962
318.8,0.01081,1898
319,0.01087,1856
319.2,0.01076,1890
319.4,0.01084,1860
319.6,0.01058,1836
319.8,0.01082,1812
320,0.01041,1946
320.2,0.01082,1904
320.4,0.01075,1928
320.6,0.01063,1950
320.8,0.01077,1950
321,0.01095,1950
321.2,0.0109,1940
321.4,0.01079,1974
321.6,0.01088,1984
321.8,0.01081,2006
322,0.01081,2008
322.2,0.01088,2028
322.4,0.01104,2046
322.6,0.01049,1988
322.8,0.01068,2010
323,0.01083,1912
323.2,0.01091,1992
323.4,0.01044,1914
323.6,0.01088,2156
323.8,0.01082,1954
