SIGNAL2,B,C
370,0.03492,1164
370.2,0.03545,1194
370.4,0.03531,1304
370.6,0.03516,1200
370.8,0.03564,1094
371,0.03456,1248
371.2,0.03476,1182
371.4,0.0352,1186
371.6,0.03521,1158
371.8,0.03541,1278
372,0.0352,1188
372.2,0.03503,1388
372.4,0.0352,1164
372.6,0.03526,1284
372.8,0.03513,1248
373,0.03489,1310
373.2,0.03529,1228
373.4,0.03518,1304
373.6,0.03473,1248
373.8,0.03542,1430
374,0.03475,1408
374.2,0.03572,1368
374.4,0.03538,1300
374.6,0.03511,1324
374.8,0.03472,1320
375,0.03524,1424
375.2,0.03514,1332
375.4,0.03517,1440
375.6,0.03462,1362
375.8,0.03495,1408
376,0.03485,1482
376.2,0.03478,1486
376.4,0.03563,1472
376.6,0.0355,1498
376.8,0.03527,1514
377,0.03462,1498
377.2,0.03513,1552
377.4,0.0353,1650
377.6,0.03517,1564
377.8,0.03531,1646
378,0.03494,1636
378.2,0.0351,1580
378.4,0.03527,1668
378.6,0.03546,1676
378.8,0.0357,1686
379,0.03564,1652
379.2,0.03534,1620
379.4,0.03567,1734
379.6,0.03483,1720
379.8,0.03502,1828
380,0.03558,1746
380.2,0.0354,1864
380.4,0.03529,1848
380.6,0.03503,1810
380.8,0.03507,1866
381,0.03507,1946
381.2,0.03512,1882
381.4,0.0356,1936
381.6,0.03479,1804
381.8,0.0358,2068
382,0.03462,1964
382.2,0.03527,1928
382.4,0.0353,2004
382.6,0.03539,2106
382.8,0.03528,2040
383,0.03559,2136
383.2,0.03461,2052
383.4,0.0348,2074
383.6,0.03479,2116
383.8,0.03511,2126
384,0.03578,2186
384.2,0.03468,2182
384.4,0.03495,2218
384.6,0.03521,2186
384.8,0.03487,2222
385,0.03488,2180
385.2,0.03502,2294
385.4,0.03513,2286
385.6,0.03521,2256
385.8,0.03555,2290
386,0.03524,2290
386.2,0.03509,2532
386.4,0.03511,2432
386.6,0.03529,2396
386.8,0.03564,2480
387,0.0353,2452
387.2,0.03565,2476
387.4,0.03485,2488
387.6,0.03446,2598
387.8,0.03471,2624
388,0.03504,2654
388.2,0.03534,2624
388.4,0.03508,2670
388.6,0.03483,2652
388.8,0.03512,2754
389,0.03561,3034
389.2,0.03521,3002
389.4,0.03551,2906
389.6,0.03513,3022
389.8,0.03493,3144
390,0.03473,3114
390.2,0.03536,3294
390.4,0.03468,3264
390.6,0.03498,3458
390.8,0.03489,3550
391,0.035,3484
391.2,0.03519,3510
391.4,0.03515,3886
391.6,0.03523,3932
391.8,0.03496,4122
392,0.0351,4252
392.2,0.03534,4300
392.4,0.03519,4488
392.6,0.03505,4656
392.8,0.03517,4686
393,0.03528,5008
393.2,0.03519,5212
393.4,0.03496,5160
393.6,0.03509,5696
393.8,0.03506,5594
394,0.03475,5748
394.2,0.03516,6036
394.4,0.03522,6416
394.6,0.0355,6384
394.8,0.03506,6344
395,0.03457,6900
395.2,0.03473,6978
395.4,0.03538,7082
395.6,0.03538,7036
395.8,0.03504,7196
396,0.03515,7378
396.2,0.03527,7516
396.4,0.03536,7920
396.6,0.03524,7520
396.8,0.03519,7988
397,0.03537,7988
397.2,0.03537,7838
397.4,0.03552,7906
397.6,0.03585,7948
397.8,0.03495,7952
398,0.03499,7768
398.2,0.03502,7806
398.4,0.0355,7918
398.6,0.03489,7890
398.8,0.03584,7750
399,0.03495,7660
399.2,0.03474,7602
399.4,0.0352,7426
399.6,0.03534,7342
399.8,0.03504,6966
400,0.03506,6834
400.2,0.03537,6924
400.4,0.03505,6566
400.6,0.03541,6560
400.8,0.03491,6244
401,0.03569,6178
401.2,0.03466,6114
401.4,0.03513,5824
401.6,0.03492,5684
401.8,0.03495,5810
402,0.03526,5428
402.2,0.03489,5492
402.4,0.03503,5444
402.6,0.03524,5198
402.8,0.03461,5192
403,0.03524,5064
403.2,0.03528,5084
403.4,0.03547,5118
403.6,0.03554,5050
403.8,0.03498,4984
404,0.03485,4966
404.2,0.03517,4968
404.4,0.03506,4824
404.6,0.03568,5162
404.8,0.03519,4952
405,0.03569,5062
405.2,0.0355,5220
405.4,0.03483,4892
405.6,0.03506,5418
405.8,0.03522,5198
406,0.03433,5046
406.2,0.03506,5412
406.4,0.03568,5306
406.6,0.03514,5096
406.8,0.0348,5356
407,0.03492,5344
407.2,0.03514,5494
407.4,0.03555,5232
407.6,0.03534,5410
407.8,0.03565,5622
408,0.03476,5384
408.2,0.03487,5376
408.4,0.03535,5382
408.6,0.03508,5390
408.8,0.03508,5318
409,0.03427,5722
409.2,0.035,5530
409.4,0.03503,5582
409.6,0.03529,5658
409.8,0.03555,5618
410,0.03568,5686
410.2,0.03462,5594
410.4,0.035,5794
410.6,0.03518,5672
410.8,0.0353,5812
411,0.03509,5850
411.2,0.03556,5916
411.4,0.03504,5828
411.6,0.03483,5764
411.8,0.03548,5974
412,0.03487,5682
412.2,0.03524,5948
412.4,0.03505,5924
412.6,0.03536,6082
412.8,0.03485,6130
413,0.03479,5906
413.2,0.03499,6096
413.4,0.03569,6274
413.6,0.03542,6178
413.8,0.03524,6194
414,0.03489,6226
414.2,0.0348,6212
414.4,0.03498,5994
414.6,0.03539,6282
414.8,0.03482,6040
415,0.03528,6422
415.2,0.03513,6314
415.4,0.03582,6442
415.6,0.03526,6298
415.8,0.03483,6114
416,0.03515,6372
416.2,0.03519,6250
416.4,0.0355,6468
416.6,0.0343,6408
416.8,0.03496,6376
417,0.03567,6678
417.2,0.03454,6448
417.4,0.03505,6498
417.6,0.0347,6608
417.8,0.03537,6546
418,0.03546,6756
418.2,0.03568,6856
418.4,0.03536,7032
418.6,0.03483,6870
418.8,0.03475,6876
419,0.03484,7040
419.2,0.03526,6928
419.4,0.0351,6842
419.6,0.03541,6748
419.8,0.03533,6760
420,0.0347,6842
420.2,0.03509,6922
420.4,0.03529,7076
420.6,0.03528,7044
420.8,0.03553,6816
421,0.03537,6804
421.2,0.03557,7224
421.4,0.03499,7076
421.6,0.03506,7162
421.8,0.03537,7122
422,0.03527,7254
422.2,0.03505,7102
422.4,0.03496,7096
422.6,0.03543,7082
422.8,0.03556,7306
423,0.03511,7268
423.2,0.0346,7154
423.4,0.0351,6974
423.6,0.03541,7140
423.8,0.035,7148
424,0.03486,7028
424.2,0.03518,7230
424.4,0.03525,7270
424.6,0.03521,7176
424.8,0.03517,7428
425,0.03546,7434
425.2,0.03453,7352
425.4,0.0353,7226
425.6,0.03544,7416
425.8,0.03535,7612
426,0.03494,7536
426.2,0.03468,7432
426.4,0.03527,7328
426.6,0.03532,7616
426.8,0.03474,7338
427,0.03539,7348
427.2,0.0349,7488
427.4,0.03521,7620
427.6,0.03569,7556
427.8,0.03499,7648
428,0.03476,7404
428.2,0.03536,7482
428.4,0.03558,7668
428.6,0.03528,7540
428.8,0.03483,7488
429,0.03521,7554
429.2,0.03465,7490
429.4,0.03541,7518
429.6,0.03511,7482
429.8,0.03473,7566
430,0.03469,7420
430.2,0.03527,7684
430.4,0.0352,7656
430.6,0.03489,7652
430.8,0.03488,7630
431,0.03515,7372
431.2,0.03576,7656
431.4,0.03526,7770
431.6,0.03527,7248
431.8,0.03531,7804
432,0.03506,7646
432.2,0.0354,8028
432.4,0.03557,7700
432.6,0.03534,7722
432.8,0.03488,7592
433,0.03493,7544
433.2,0.03506,7556
433.4,0.0347,7706
433.6,0.03499,7960
433.8,0.0349,7606
434,0.03522,7964
434.2,0.03553,7442
434.4,0.03472,7782
434.6,0.03471,7778
434.8,0.03557,7652
435,0.03511,7682
435.2,0.0354,7790
435.4,0.0353,7724
435.6,0.03442,7830
435.8,0.03515,7656
436,0.03542,7722
436.2,0.03548,7504
436.4,0.03511,7758
436.6,0.03427,7668
436.8,0.03513,7680
437,0.03502,7750
437.2,0.03518,7710
437.4,0.03524,7668
437.6,0.0351,7696
437.8,0.03435,7576
438,0.0347,7684
438.2,0.03537,7610
438.4,0.03487,7698
438.6,0.03526,7618
438.8,0.03482,7754
439,0.0347,7616
439.2,0.03481,7608
439.4,0.03589,7586
439.6,0.03531,7458
439.8,0.03511,7612
440,0.03519,7796
440.2,0.0351,7646
440.4,0.03496,7604
440.6,0.03542,7812
440.8,0.03489,7526
441,0.03537,7730
441.2,0.03549,7990
441.4,0.03488,7410
441.6,0.03515,7712
441.8,0.03519,7666
442,0.03498,7736
442.2,0.0351,7388
442.4,0.03483,7548
442.6,0.03529,7676
442.8,0.03499,7444
443,0.03524,7692
443.2,0.0351,7764
443.4,0.03511,7620
443.6,0.03512,7718
443.8,0.03512,7584
444,0.03527,7786
444.2,0.03529,7564
444.4,0.03501,7530
444.6,0.03473,7480
444.8,0.03477,7578
445,0.03524,7558
445.2,0.03523,7344
445.4,0.03528,7546
445.6,0.03535,7432
445.8,0.03484,7452
446,0.03495,7636
446.2,0.03508,7322
446.4,0.03512,7604
446.6,0.03567,7506
446.8,0.0352,7388
447,0.03508,7388
447.2,0.03414,7110
447.4,0.03488,7354
447.6,0.03528,7360
447.8,0.03558,7490
448,0.03561,7572
448.2,0.03557,7502
448.4,0.03477,7718
448.6,0.03514,7172
448.8,0.03504,7098
449,0.03578,7594
449.2,0.0357,7596
449.4,0.03516,7236
449.6,0.03444,7374
449.8,0.0355,7328
450,0.03482,7384
450.2,0.03477,6870
450.4,0.03515,7122
450.6,0.03525,7012
450.8,0.03508,7208
451,0.03554,7142
451.2,0.03519,7232
451.4,0.03556,7118
451.6,0.03409,7042
451.8,0.03457,7426
452,0.03509,7254
452.2,0.03513,7358
452.4,0.0351,7140
452.6,0.0351,7098
452.8,0.03515,7108
453,0.03541,7132
453.2,0.03524,7050
453.4,0.0355,6910
453.6,0.03554,7190
453.8,0.03546,7090
454,0.03526,7366
454.2,0.03481,6850
454.4,0.03516,7038
454.6,0.03511,7000
454.8,0.03487,7026
455,0.03499,6968
455.2,0.03505,7296
455.4,0.035,7038
455.6,0.03514,6838
455.8,0.03506,7012
456,0.03515,6822
456.2,0.03521,7048
456.4,0.03468,6898
456.6,0.03521,7028
456.8,0.0354,7152
457,0.03483,6918
457.2,0.03598,6674
457.4,0.03529,6898
457.6,0.03472,6796
457.8,0.03492,7004
458,0.03492,6814
458.2,0.03526,6610
458.4,0.0353,6536
458.6,0.03488,6652
458.8,0.03498,6754
459,0.03544,6872
459.2,0.03541,6930
459.4,0.03523,6822
459.6,0.0343,6576
459.8,0.03535,6588
460,0.03535,6824
460.2,0.03575,6706
460.4,0.0354,6664
460.6,0.03538,6758
460.8,0.03527,6620
461,0.03513,7100
461.2,0.03487,6502
461.4,0.03506,6662
461.6,0.03516,6652
461.8,0.03562,6622
462,0.03553,6730
462.2,0.03492,6574
462.4,0.03495,6552
462.6,0.03528,6350
462.8,0.0351,6454
463,0.03496,6664
463.2,0.03534,6428
463.4,0.03555,6560
463.6,0.03474,6590
463.8,0.03442,6542
464,0.03551,6588
464.2,0.03518,6672
464.4,0.0352,6598
464.6,0.03545,6432
464.8,0.0345,6456
465,0.03457,6512
465.2,0.03479,6522
465.4,0.03526,6364
465.6,0.0353,6466
465.8,0.0342,6112
466,0.03516,6228
466.2,0.03599,6432
466.4,0.03529,6296
466.6,0.03483,6532
466.8,0.03494,6354
467,0.0351,6276
467.2,0.03513,6388
467.4,0.03497,6438
467.6,0.03561,6496
467.8,0.0359,6508
468,0.03452,6370
468.2,0.03529,6206
468.4,0.03497,6312
468.6,0.03493,6146
468.8,0.03549,6378
469,0.03579,6554
469.2,0.035,6220
469.4,0.03456,6286
469.6,0.03531,6216
469.8,0.03541,6298
470,0.03515,6020
470.2,0.03537,6330
470.4,0.03493,6154
470.6,0.03537,6328
470.8,0.03504,6212
471,0.03543,6224
471.2,0.03528,6228
471.4,0.03517,6288
471.6,0.03471,6194
471.8,0.03528,6318
472,0.03494,6078
472.2,0.03498,6186
472.4,0.03524,6230
472.6,0.0352,6296
472.8,0.03495,6328
473,0.03521,6060
473.2,0.03523,6020
473.4,0.03522,6170
473.6,0.03554,5926
473.8,0.03531,6084
474,0.03508,6158
474.2,0.03535,6096
474.4,0.03536,6104
474.6,0.03476,6148
474.8,0.03511,6000
475,0.03512,6056
475.2,0.03537,5946
475.4,0.0354,6248
475.6,0.03569,6058
475.8,0.03434,5926
476,0.03498,5796
476.2,0.03521,5798
476.4,0.0354,5996
476.6,0.03487,5882
476.8,0.03476,6214
477,0.03492,5918
477.2,0.03534,6082
477.4,0.03549,6090
477.6,0.03452,5948
477.8,0.03504,5824
478,0.03463,6034
478.2,0.03541,5856
478.4,0.03511,5724
478.6,0.03464,6090
478.8,0.03475,5822
479,0.0352,5872
479.2,0.03465,5918
479.4,0.03512,5980
479.6,0.03474,5578
479.8,0.0353,5876
480,0.03454,5628
480.2,0.03491,5746
480.4,0.03511,5746
480.6,0.03501,5848
480.8,0.03517,5960
481,0.03455,5658
481.2,0.03515,5854
481.4,0.03573,5694
481.6,0.03531,5734
481.8,0.03567,5926
482,0.03462,5592
482.2,0.03476,5546
482.4,0.03526,5784
482.6,0.03532,5818
482.8,0.03512,5668
483,0.03434,5602
483.2,0.03501,5580
483.4,0.03527,5574
483.6,0.03533,5712
483.8,0.03488,5642
484,0.03538,5566
484.2,0.03501,5428
484.4,0.03521,5628
484.6,0.03526,5608
484.8,0.03513,5644
485,0.03486,5592
485.2,0.03483,5202
485.4,0.03488,5318
485.6,0.03522,5460
485.8,0.03517,5582
486,0.03488,5498
486.2,0.03509,5506
486.4,0.0354,5630
486.6,0.03509,5418
486.8,0.03565,5484
487,0.03569,5654
487.2,0.03526,5426
487.4,0.03471,5448
487.6,0.03482,5450
487.8,0.03542,5290
488,0.03493,5392
488.2,0.03476,5500
488.4,0.03476,5402
488.6,0.03526,5238
488.8,0.03539,5560
489,0.03573,5398
489.2,0.03492,5512
489.4,0.03471,5304
489.6,0.0358,5292
489.8,0.03554,5370
490,0.03464,5562
490.2,0.03437,5112
490.4,0.03509,5394
490.6,0.03524,5258
490.8,0.03578,5296
491,0.03476,5310
491.2,0.03471,5164
491.4,0.0353,5206
491.6,0.03516,5314
491.8,0.03517,5324
492,0.03489,5168
492.2,0.03484,5142
492.4,0.03487,5122
492.6,0.03531,5122
492.8,0.0347,5184
493,0.03526,5078
493.2,0.03531,5158
493.4,0.03522,5228
493.6,0.03539,5208
493.8,0.03448,5008
494,0.0348,5008
494.2,0.03543,5100
494.4,0.03529,5166
494.6,0.03508,5224
494.8,0.03524,5180
495,0.03444,4976
495.2,0.03507,4940
495.4,0.03532,5016
495.6,0.0358,5004
495.8,0.03538,4972
496,0.03463,5022
496.2,0.03525,4766
496.4,0.03511,5146
496.6,0.03543,5114
496.8,0.0345,4788
497,0.03524,5122
497.2,0.03497,4938
497.4,0.0355,4956
497.6,0.0356,5082
497.8,0.0353,5036
498,0.03489,4900
498.2,0.03555,5012
498.4,0.03498,5014
498.6,0.03413,4904
498.8,0.0352,4994
499,0.0354,5096
499.2,0.03534,4960
499.4,0.03545,4936
499.6,0.03522,4942
499.8,0.03495,4780
500,0.03522,4834
500.2,0.03554,4770
500.4,0.03505,4896
500.6,0.03541,4896
500.8,0.03499,4836
501,0.03508,4962
501.2,0.03524,4960
501.4,0.03505,4726
501.6,0.03507,5062
501.8,0.03542,4744
502,0.03551,4810
502.2,0.03517,4798
502.4,0.03506,4698
502.6,0.03497,4784
502.8,0.03526,4808
503,0.03467,4516
503.2,0.03479,4910
503.4,0.0343,4774
503.6,0.03512,4796
503.8,0.0346,4424
504,0.03496,4618
504.2,0.03495,4714
504.4,0.03471,4520
504.6,0.03503,4650
504.8,0.03496,4490
505,0.03451,4694
505.2,0.03497,4612
505.4,0.03537,4632
505.6,0.0355,4710
505.8,0.03536,4602
506,0.03447,4570
506.2,0.03518,4502
506.4,0.0354,4506
506.6,0.03501,4606
506.8,0.03524,4580
507,0.03529,4568
507.2,0.03508,4540
507.4,0.03523,4554
507.6,0.03521,4642
507.8,0.03464,4498
508,0.03489,4480
508.2,0.03543,4492
508.4,0.03561,4386
508.6,0.03486,4562
508.8,0.03508,4482
509,0.03511,4474
509.2,0.0349,4402
509.4,0.03524,4266
509.6,0.03505,4478
509.8,0.03497,4540
510,0.03533,4600
510.2,0.03529,4562
510.4,0.03487,4342
510.6,0.03511,4514
510.8,0.03524,4444
511,0.03505,4400
511.2,0.035,4392
511.4,0.03532,4572
511.6,0.03526,4298
511.8,0.03513,4310
512,0.03521,4334
512.2,0.0348,4410
512.4,0.03542,4190
512.6,0.03514,4316
512.8,0.03519,4338
513,0.03556,4194
513.2,0.03478,4074
513.4,0.03473,4050
513.6,0.03504,4276
513.8,0.0356,4116
514,0.03443,4194
514.2,0.03444,4070
514.4,0.0348,4176
514.6,0.03517,4182
514.8,0.03452,4132
515,0.03517,4260
515.2,0.03532,4136
515.4,0.03496,4114
515.6,0.03508,4098
515.8,0.03446,4120
516,0.03448,4018
516.2,0.03569,4260
516.4,0.03467,4176
516.6,0.03485,3972
516.8,0.03479,4044
517,0.03548,4180
517.2,0.03481,4232
517.4,0.03486,3886
517.6,0.0352,4282
517.8,0.03509,4020
518,0.03515,4042
518.2,0.03517,4140
518.4,0.03535,4116
518.6,0.03549,4174
518.8,0.03488,3868
519,0.03546,4030
519.2,0.03524,4150
519.4,0.03416,3918
519.6,0.03475,3908
