SIGNAL2,B,C
370,0.03518,1078
370.2,0.03501,1132
370.4,0.03483,1120
370.6,0.03472,1104
370.8,0.0344,1090
371,0.03462,1004
371.2,0.03514,1178
371.4,0.03463,1102
371.6,0.03398,1118
371.8,0.03488,1096
372,0.03489,1132
372.2,0.03452,1094
372.4,0.03388,1122
372.6,0.03448,1054
372.8,0.03508,1182
373,0.03473,1204
373.2,0.03517,1204
373.4,0.035,1204
373.6,0.03437,1206
373.8,0.03418,1132
374,0.03474,1224
374.2,0.03486,1212
374.4,0.0337,1200
374.6,0.03465,1232
374.8,0.03465,1200
375,0.03504,1268
375.2,0.03489,1260
375.4,0.03383,1276
375.6,0.03477,1286
375.8,0.03518,1362
376,0.03502,1316
376.2,0.03458,1462
376.4,0.03473,1410
376.6,0.03503,1316
376.8,0.03475,1454
377,0.0341,1578
377.2,0.03454,1474
377.4,0.03492,1550
377.6,0.03439,1438
377.8,0.03452,1542
378,0.03489,1512
378.2,0.03348,1558
378.4,0.03438,1456
378.6,0.03453,1498
378.8,0.03508,1636
379,0.03447,1644
379.2,0.03414,1516
379.4,0.03462,1542
379.6,0.03481,1734
379.8,0.03485,1696
380,0.03425,1708
380.2,0.03473,1648
380.4,0.03443,1764
380.6,0.03485,1724
380.8,0.03416,1718
381,0.03462,1754
381.2,0.03483,1692
381.4,0.03442,1776
381.6,0.03412,1806
381.8,0.03511,1838
382,0.03441,1798
382.2,0.03381,1934
382.4,0.03476,1896
382.6,0.0348,1896
382.8,0.03469,1880
383,0.03449,1922
383.2,0.03487,1998
383.4,0.03477,2022
383.6,0.0349,1892
383.8,0.03508,2096
384,0.03362,1920
384.2,0.03477,1992
384.4,0.03487,2058
384.6,0.03507,2108
384.8,0.03459,2200
385,0.03454,2194
385.2,0.03494,2150
385.4,0.03477,2144
385.6,0.03473,1988
385.8,0.03444,2208
386,0.03452,2242
386.2,0.03546,2272
386.4,0.03497,2186
386.6,0.03395,2108
386.8,0.03435,2298
387,0.03502,2304
387.2,0.03475,2380
387.4,0.03498,2452
387.6,0.03468,2440
387.8,0.03483,2386
388,0.03489,2562
388.2,0.03467,2480
388.4,0.03463,2606
388.6,0.03465,2602
388.8,0.03475,2544
389,0.03465,2724
389.2,0.03452,2778
389.4,0.03472,2786
389.6,0.03468,2888
389.8,0.03512,2972
390,0.03348,2962
390.2,0.03469,3090
390.4,0.0343,3122
390.6,0.03419,3392
390.8,0.03488,3350
391,0.03437,3480
391.2,0.03479,3700
391.4,0.03487,3694
391.6,0.03501,3808
391.8,0.03402,3934
392,0.0348,4288
392.2,0.03466,4200
392.4,0.035,4416
392.6,0.03531,4626
392.8,0.03408,4478
393,0.03469,4924
393.2,0.03493,5108
393.4,0.03382,5186
393.6,0.03469,5418
393.8,0.03449,5500
394,0.03505,6002
394.2,0.03491,6092
394.4,0.03476,6358
394.6,0.03489,6440
394.8,0.03447,6426
395,0.03425,6752
395.2,0.03483,6888
395.4,0.03531,7172
395.6,0.03421,7050
395.8,0.03479,7038
396,0.03507,7448
396.2,0.0348,7638
396.4,0.03485,7578
396.6,0.03427,7590
396.8,0.03441,7842
397,0.03549,7798
397.2,0.03444,7960
397.4,0.03495,8088
397.6,0.0349,8340
397.8,0.03471,7872
398,0.03563,7830
398.2,0.0338,7580
398.4,0.03448,7638
398.6,0.03458,7582
398.8,0.0347,7372
399,0.03459,7562
399.2,0.03456,7558
399.4,0.03485,7106
399.6,0.0343,7020
399.8,0.03453,7002
400,0.03422,6582
400.2,0.03431,6532
400.4,0.03414,6212
400.6,0.03534,6148
400.8,0.03437,6040
401,0.0348,5896
401.2,0.03455,5640
401.4,0.0344,5572
401.6,0.0349,5312
401.8,0.03489,5176
402,0.03495,5190
402.2,0.03458,4816
402.4,0.03434,4718
402.6,0.03478,4794
402.8,0.03428,4756
403,0.03445,4572
403.2,0.03384,4448
403.4,0.03448,4492
403.6,0.03489,4554
403.8,0.03449,4580
404,0.03506,4480
404.2,0.03476,4440
404.4,0.03471,4362
404.6,0.03396,4246
404.8,0.0349,4382
405,0.03503,4548
405.2,0.03504,4602
405.4,0.03537,4448
405.6,0.03474,4406
405.8,0.0351,4488
406,0.03459,4618
406.2,0.03422,4414
406.4,0.03475,4362
406.6,0.03475,4374
406.8,0.03491,4550
407,0.03396,4174
407.2,0.03471,4432
407.4,0.03472,4372
407.6,0.03509,4482
407.8,0.03483,4586
408,0.03483,4558
408.2,0.03497,4626
408.4,0.03433,4484
408.6,0.03475,4500
408.8,0.03431,4576
409,0.03486,4512
409.2,0.03372,4656
409.4,0.03497,4482
409.6,0.0352,4638
409.8,0.03495,4558
410,0.03373,4494
410.2,0.03496,4624
410.4,0.03478,4670
410.6,0.03472,4768
410.8,0.03451,4784
411,0.03476,4482
411.2,0.035,4666
411.4,0.03534,4842
411.6,0.0347,4814
411.8,0.03481,4670
412,0.03498,4726
412.2,0.03416,4726
412.4,0.03458,4806
412.6,0.03398,4924
412.8,0.0343,4916
413,0.03519,4896
413.2,0.03475,4948
413.4,0.03397,4782
413.6,0.03431,4908
413.8,0.03494,4888
414,0.03489,4882
414.2,0.0346,5046
414.4,0.03472,4812
414.6,0.03456,4996
414.8,0.03463,4988
415,0.03407,4982
415.2,0.03516,5084
415.4,0.03411,4996
415.6,0.03517,4948
415.8,0.03516,5008
416,0.03499,4794
416.2,0.03493,4928
416.4,0.03491,5196
416.6,0.03488,4806
416.8,0.03476,5012
417,0.03498,5064
417.2,0.03521,5168
417.4,0.03431,5092
417.6,0.0348,5402
417.8,0.0344,5128
418,0.03519,5154
418.2,0.03398,4864
418.4,0.03484,5232
418.6,0.03491,5268
418.8,0.03494,5058
419,0.03415,5236
419.2,0.0349,5264
419.4,0.03438,5254
419.6,0.03452,5020
419.8,0.03433,5034
420,0.03441,5196
420.2,0.03501,5376
420.4,0.03463,5230
420.6,0.03481,5494
420.8,0.03386,5240
421,0.03481,5156
421.2,0.03506,5360
421.4,0.03451,5418
421.6,0.03458,5178
421.8,0.03428,5178
422,0.03447,5492
422.2,0.03346,5316
422.4,0.03498,5234
422.6,0.03435,5412
422.8,0.03462,5388
423,0.03493,5516
423.2,0.03459,5310
423.4,0.03404,5272
423.6,0.03481,5808
423.8,0.03498,5472
424,0.03406,5770
424.2,0.03439,5458
424.4,0.03498,5526
424.6,0.03486,5526
424.8,0.03388,5572
425,0.03499,5442
425.2,0.03487,5546
425.4,0.03455,5600
425.6,0.0349,5608
425.8,0.03485,5654
426,0.03468,5592
426.2,0.03513,5708
426.4,0.03397,5462
426.6,0.03543,5750
426.8,0.03468,5758
427,0.03491,5844
427.2,0.03438,5662
427.4,0.03459,5740
427.6,0.03458,5568
427.8,0.03478,5596
428,0.03398,5848
428.2,0.03464,5822
428.4,0.03528,5764
428.6,0.03441,5824
428.8,0.03456,5644
429,0.03501,5960
429.2,0.03524,5700
429.4,0.03471,5902
429.6,0.03428,5622
429.8,0.03496,5882
430,0.0349,5536
430.2,0.03452,5636
430.4,0.0343,5762
430.6,0.03479,5694
430.8,0.03396,5910
431,0.03431,5740
431.2,0.03504,5762
431.4,0.03462,6060
431.6,0.03503,6036
431.8,0.03477,5802
432,0.03503,5948
432.2,0.03532,5800
432.4,0.03496,5772
432.6,0.03416,5732
432.8,0.03477,5926
433,0.03466,5966
433.2,0.03479,5984
433.4,0.03447,5924
433.6,0.03413,5884
433.8,0.03467,5992
434,0.03498,5798
434.2,0.03413,5764
434.4,0.03487,6230
434.6,0.03521,5906
434.8,0.03507,5914
435,0.03479,6042
435.2,0.03401,5766
435.4,0.03507,5950
435.6,0.03465,5878
435.8,0.03457,5900
436,0.03474,5808
436.2,0.03428,5820
436.4,0.0343,5820
436.6,0.0346,5954
436.8,0.03437,5996
437,0.0351,5918
437.2,0.03503,6010
437.4,0.03513,6144
437.6,0.03374,5746
437.8,0.03523,6090
438,0.03486,5998
438.2,0.03483,6232
438.4,0.03531,6124
438.6,0.03395,5904
438.8,0.03473,6002
439,0.03481,5980
439.2,0.03401,5980
439.4,0.03446,6050
439.6,0.03505,6130
439.8,0.03493,5984
440,0.03445,5970
440.2,0.03446,6230
440.4,0.03459,5990
440.6,0.03402,6200
440.8,0.03476,6196
441,0.03436,6090
441.2,0.03418,6094
441.4,0.03484,6228
441.6,0.03485,6108
441.8,0.03494,6004
442,0.03495,6480
442.2,0.03492,6112
442.4,0.0348,5902
442.6,0.03495,6094
442.8,0.03457,6042
443,0.03439,6294
443.2,0.03441,6082
443.4,0.03521,6218
443.6,0.03477,6218
443.8,0.03415,6220
444,0.03455,5966
444.2,0.03478,6172
444.4,0.03524,6122
444.6,0.03381,6000
444.8,0.03483,6296
445,0.03495,6034
445.2,0.03455,6218
445.4,0.03451,6200
445.6,0.03488,6300
445.8,0.0349,6344
446,0.03434,5834
446.2,0.03453,6030
446.4,0.03472,6384
446.6,0.03472,6126
446.8,0.03441,6098
447,0.03543,6044
447.2,0.03396,6192
447.4,0.03488,6094
447.6,0.03487,5966
447.8,0.03433,6272
448,0.03506,6048
448.2,0.03482,6102
448.4,0.0346,5952
448.6,0.03404,5992
448.8,0.03504,6328
449,0.03519,5992
449.2,0.03413,5896
449.4,0.03457,6052
449.6,0.03452,6136
449.8,0.03431,5912
450,0.0346,6094
450.2,0.03461,6194
450.4,0.0344,6050
450.6,0.03413,6010
450.8,0.03491,5986
451,0.0351,5980
451.2,0.03428,6010
451.4,0.03472,6158
451.6,0.03494,6058
451.8,0.0344,5932
452,0.0342,6074
452.2,0.0342,5876
452.4,0.03509,5896
452.6,0.03481,5912
452.8,0.03451,6032
453,0.03448,6056
453.2,0.03443,5870
453.4,0.03486,6072
453.6,0.03508,6040
453.8,0.03476,6042
454,0.03438,6012
454.2,0.03523,6174
454.4,0.03468,5848
454.6,0.03471,5974
454.8,0.03444,6000
455,0.03487,5876
455.2,0.03402,5876
455.4,0.03486,6172
455.6,0.03503,5984
455.8,0.03439,6060
456,0.03445,5898
456.2,0.03433,5764
456.4,0.03509,5896
456.6,0.0346,5766
456.8,0.03506,6030
457,0.03493,6154
457.2,0.03424,6004
457.4,0.03429,5904
457.6,0.03488,6118
457.8,0.03517,6092
458,0.0344,5760
458.2,0.03449,5990
458.4,0.03502,6064
458.6,0.03498,6122
458.8,0.0339,6042
459,0.03499,6078
459.2,0.03517,6022
459.4,0.03473,5800
459.6,0.03516,5782
459.8,0.03444,5938
460,0.0345,6254
460.2,0.03457,6030
460.4,0.03493,5960
460.6,0.03486,5928
460.8,0.03481,5838
461,0.03421,5924
461.2,0.03453,5898
461.4,0.03495,6004
461.6,0.03467,5760
461.8,0.03512,6062
462,0.03499,6068
462.2,0.03404,5784
462.4,0.03477,6108
462.6,0.03444,5936
462.8,0.03526,5880
463,0.03465,5718
463.2,0.03442,5992
463.4,0.03492,5822
463.6,0.0353,5754
463.8,0.03478,5934
464,0.03408,5980
464.2,0.03445,5884
464.4,0.03476,5868
464.6,0.03489,6044
464.8,0.03504,5966
465,0.03492,6176
465.2,0.03487,6300
465.4,0.03493,5992
465.6,0.03469,6006
465.8,0.03493,6138
466,0.03522,5914
466.2,0.0351,6138
466.4,0.03429,5792
466.6,0.0348,5904
466.8,0.0346,5982
467,0.03446,5796
467.2,0.03423,5906
467.4,0.03467,5776
467.6,0.03507,5982
467.8,0.03469,5766
468,0.03375,5716
468.2,0.03518,5830
468.4,0.035,5996
468.6,0.03479,5986
468.8,0.03448,5906
469,0.03484,5788
469.2,0.03489,5990
469.4,0.03486,5818
469.6,0.03472,5910
469.8,0.0347,5686
470,0.03416,5534
470.2,0.03448,5850
470.4,0.035,5888
470.6,0.03496,5916
470.8,0.03505,5776
471,0.03468,5750
471.2,0.03442,5802
471.4,0.03464,5962
471.6,0.03471,6072
471.8,0.0346,5716
472,0.03495,5834
472.2,0.03494,5982
472.4,0.03487,6184
472.6,0.0347,5858
472.8,0.03456,5964
473,0.03479,5876
473.2,0.03488,5828
473.4,0.03429,5994
473.6,0.03535,6024
473.8,0.03458,5828
474,0.03437,5820
474.2,0.03508,6100
474.4,0.03478,5776
474.6,0.03483,5856
474.8,0.03512,5760
475,0.03495,6160
475.2,0.03528,6058
475.4,0.0351,5986
475.6,0.03495,5878
475.8,0.03404,5744
476,0.03456,5778
476.2,0.03495,6100
476.4,0.03495,5868
476.6,0.03491,6004
476.8,0.03477,5872
477,0.03452,5858
477.2,0.03498,5970
477.4,0.03508,5858
477.6,0.03461,5854
477.8,0.03435,5806
478,0.03478,5726
478.2,0.03508,5858
478.4,0.03536,5988
478.6,0.03477,5982
478.8,0.03514,5830
479,0.03477,5912
479.2,0.03467,5902
479.4,0.03476,5734
479.6,0.03477,5944
479.8,0.03526,5694
480,0.03508,5640
480.2,0.03503,6002
480.4,0.03462,5738
480.6,0.03481,5742
480.8,0.03454,5626
481,0.0346,5714
481.2,0.03498,5828
481.4,0.03454,5778
481.6,0.03488,5782
481.8,0.03452,5932
482,0.03445,5608
482.2,0.0347,5590
482.4,0.03519,5834
482.6,0.03455,5682
482.8,0.03424,5756
483,0.03482,5738
483.2,0.03462,5756
483.4,0.03539,5764
483.6,0.0346,5694
483.8,0.03465,5964
484,0.03497,5544
484.2,0.03469,5636
484.4,0.0338,5648
484.6,0.03455,5706
484.8,0.03415,5760
485,0.03464,5812
485.2,0.03509,5676
485.4,0.03513,5498
485.6,0.03442,5614
485.8,0.03436,5546
486,0.03485,5630
486.2,0.03477,5622
486.4,0.03505,5634
486.6,0.03445,5498
486.8,0.03438,5612
487,0.03491,5694
487.2,0.03506,5568
487.4,0.03411,5242
487.6,0.03454,5432
487.8,0.03468,5602
488,0.03499,5706
488.2,0.03474,5592
488.4,0.03493,5652
488.6,0.03459,5522
488.8,0.03474,5382
489,0.03512,5614
489.2,0.03462,5422
489.4,0.03475,5712
489.6,0.03473,5558
489.8,0.03452,5478
490,0.03446,5520
490.2,0.03498,5388
490.4,0.03475,5716
490.6,0.03475,5636
490.8,0.03427,5474
491,0.03491,5618
491.2,0.0343,5568
491.4,0.03421,5488
491.6,0.03435,5342
491.8,0.03458,5454
492,0.03436,5228
492.2,0.03407,5304
492.4,0.03461,5436
492.6,0.03437,5462
492.8,0.03481,5306
493,0.03504,5362
493.2,0.03495,5358
493.4,0.03427,5346
493.6,0.03474,5436
493.8,0.03478,5326
494,0.03507,5498
494.2,0.03476,5560
494.4,0.03454,5440
494.6,0.03458,5454
494.8,0.03497,5314
495,0.03467,5312
495.2,0.03481,5368
495.4,0.0354,5328
495.6,0.03426,5358
495.8,0.03436,5256
496,0.03467,5444
496.2,0.03465,5372
496.4,0.03461,5252
496.6,0.03468,5452
496.8,0.03474,5412
497,0.03502,5304
497.2,0.03428,5136
497.4,0.03497,5508
497.6,0.03524,5432
497.8,0.03487,5152
498,0.03474,5280
498.2,0.03443,5352
498.4,0.03496,5280
498.6,0.03442,5224
498.8,0.03471,5298
499,0.03437,5220
499.2,0.03455,5264
499.4,0.03529,5134
499.6,0.03474,5238
499.8,0.03508,5332
500,0.03478,5088
500.2,0.03469,5256
500.4,0.03521,5228
500.6,0.0346,5112
