SIGNAL2,B,C
370,0.03761,1806
370.2,0.03769,1784
370.4,0.0376,1836
370.6,0.03772,2028
370.8,0.03765,1972
371,0.03763,2092
371.2,0.03761,2016
371.4,0.03765,2048
371.6,0.03761,2126
371.8,0.03753,2122
372,0.03768,2070
372.2,0.0376,2114
372.4,0.03766,2018
372.6,0.0377,2116
372.8,0.03762,2102
373,0.03764,1982
373.2,0.03762,2216
373.4,0.03766,2282
373.6,0.03765,2184
373.8,0.03763,2182
374,0.03771,2282
374.2,0.03759,2300
374.4,0.03751,2254
374.6,0.03756,2320
374.8,0.0376,2388
375,0.03766,2348
375.2,0.03764,2484
375.4,0.03767,2436
375.6,0.0376,2488
375.8,0.03754,2478
376,0.03768,2492
376.2,0.03765,2466
376.4,0.03772,2614
376.6,0.0377,2576
376.8,0.03767,2628
377,0.03763,2614
377.2,0.03765,2674
377.4,0.03762,2640
377.6,0.03767,2732
377.8,0.03761,2720
378,0.03767,2730
378.2,0.03753,2776
378.4,0.03755,2822
378.6,0.03749,2906
378.8,0.03753,2834
379,0.03756,2974
379.2,0.03766,3154
379.4,0.03759,2992
379.6,0.03756,3236
379.8,0.03761,3066
380,0.03765,3000
380.2,0.03763,3144
380.4,0.03753,2998
380.6,0.03757,3242
380.8,0.03773,3228
381,0.03764,3150
381.2,0.03765,3258
381.4,0.03768,3302
381.6,0.03765,3310
381.8,0.03766,3508
382,0.03768,3404
382.2,0.03783,3446
382.4,0.03764,3418
382.6,0.03758,3460
382.8,0.03757,3572
383,0.03771,3452
383.2,0.03762,3442
383.4,0.03768,3666
383.6,0.0376,3478
383.8,0.03773,3674
384,0.0376,3714
384.2,0.03764,3736
384.4,0.03778,3738
384.6,0.03754,3782
384.8,0.03755,3660
385,0.03761,3928
385.2,0.03749,3944
385.4,0.03766,4092
385.6,0.03763,4010
385.8,0.03766,4110
386,0.03768,4102
386.2,0.03765,4012
386.4,0.03757,4172
386.6,0.0377,4168
386.8,0.03765,4088
387,0.03758,4058
387.2,0.03759,4158
387.4,0.03761,4538
387.6,0.03764,4306
387.8,0.03777,4372
388,0.03756,4386
388.2,0.03767,4616
388.4,0.03779,4560
388.6,0.03766,4822
388.8,0.03766,4870
389,0.03753,4782
389.2,0.03773,4890
389.4,0.03755,4892
389.6,0.03773,5130
389.8,0.03775,5114
390,0.03755,4906
390.2,0.0377,5240
390.4,0.03766,5308
390.6,0.03758,5370
